justhamzah;1;"Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.
pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot, brani kasih diskon gede harus nya nerima resiko!"
justhamzah;1;"Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.
pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot, brani kasih diskon gede harus nya nerima resiko!"
justhamzah;1;"Kecewa banget stok ada tapi ketika pengiriman di bilang stock ga lolos qc dan konfirmasi nya ketika barang sudah sampe rumah.
pemesanan dari kapan hari baru di proses 5 hari kedepanya.Brand yang udah growup kaya gini tapi masih pake sistem yang lemot, brani kasih diskon gede harus nya nerima resiko!"
ferarypandie;1;"Barang sonde sesuai
padahal erigo bilangnya terkenal ko
gini siihh parahhh
lain kerja yang betul"
ferarypandie;1;"Barang sonde sesuai
padahal erigo bilangnya terkenal ko
gini siihh parahhh
lain kerja yang betul"
ferarypandie;1;"Barang sonde sesuai
padahal erigo bilangnya terkenal ko
gini siihh parahhh
lain kerja yang betul"
ferarypandie;1;"Barang sonde sesuai
padahal erigo bilangnya terkenal ko
gini siihh parahhh
lain kerja yang betul"
wirantiputri28;1;BUKAN MASALAH KUALITASNYA YA!  INI MASALAH PENGAJUAN DAN PENGEMBALIAN DANA KARNA SAYA INGIN MERUBAH RINCIAN PEMESANAN. TAPI  TIDAK ADA KEBIJAKAN DARI SELER,  RESPON CHT TIDAK ADA!  SY SUDH MENGIRIM PESAN VIA STORE INSTAGRAM DAN SELER INSTAGRAM MENYARANKAN UNTK MENGEMBALIKAN BRG SMPAI. TP TTP  DITOLK
delsyeelvira;1;Saya diminta untuk menukar dengan sesama jenis produk. Tapi saya tidak mau, karena pas di awal saya mesen tidak ada pemberitahuan kalo untuk ukuran yg saya minta habis stok! Akhirnya, saya mengajukan pengembalian dana, tp tetep blm ada respon selanjutnya!
;1;Pengiriman lama. Tidak sesuai dengan ekspektasi   bahannya buluan. Harusnya kan kalau baru ke gini Dielus k tangan kan halus ini mah engga. kasar bgt.cukup kecewa di bahan buluan
rezafadilah12345;1;Lama pengirimannya barang juga berbulu baru di pake seharu
